locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAICOJHJ_00774	CDS	1155	bioF_1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
CAICOJHJ_00775	CDS	756	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
CAICOJHJ_00776	CDS	678	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
CAICOJHJ_00777	CDS	2022	uvrB		COG0556	UvrABC system protein B
CAICOJHJ_00778	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
CAICOJHJ_00779	CDS	990	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
CAICOJHJ_00780	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
CAICOJHJ_00781	CDS	486	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
CAICOJHJ_00782	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
CAICOJHJ_00783	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
CAICOJHJ_00784	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
CAICOJHJ_00785	CDS	714				hypothetical protein
CAICOJHJ_00786	CDS	957	ybhN		COG0392	Inner membrane protein YbhN
CAICOJHJ_00787	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
CAICOJHJ_00788	CDS	762				hypothetical protein
CAICOJHJ_00789	CDS	411	ybhQ			Inner membrane protein YbhQ
CAICOJHJ_00790	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
CAICOJHJ_00791	CDS	1134	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
CAICOJHJ_00792	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
CAICOJHJ_00793	CDS	996				hypothetical protein
CAICOJHJ_00794	CDS	672	cecR		COG1309	HTH-type transcriptional dual regulator CecR
CAICOJHJ_00795	CDS	1362	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
CAICOJHJ_00796	CDS	198	ybiA	3.2.2.-	COG3236	N-glycosidase YbiA
CAICOJHJ_00797	CDS	2151	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG
CAICOJHJ_00798	CDS	963	ybiB		COG0547	putative protein YbiB
CAICOJHJ_00799	CDS	1086	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
CAICOJHJ_00800	CDS	261	bhsA_2			Multiple stress resistance protein BhsA
CAICOJHJ_00801	CDS	267	ybiI_1		COG1734	putative protein YbiI
CAICOJHJ_00802	CDS	675		1.14.11.-	COG3128	PKHD-type hydroxylase
CAICOJHJ_00803	CDS	2283	fiu_1		COG4774	Catecholate siderophore receptor Fiu
CAICOJHJ_00804	CDS	261	mcbA			putative protein McbA
CAICOJHJ_00805	CDS	927	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
CAICOJHJ_00806	CDS	2226	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
CAICOJHJ_00807	CDS	723	glnQ_2		COG1126	Glutamine transport ATP-binding protein GlnQ
CAICOJHJ_00808	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
CAICOJHJ_00809	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
CAICOJHJ_00810	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
CAICOJHJ_00811	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
CAICOJHJ_00812	CDS	516	ompX_1		COG3637	Outer membrane protein X
CAICOJHJ_00813	CDS	1584	opgE_1	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
CAICOJHJ_00814	CDS	129	mntS			Small protein MntS
CAICOJHJ_00815	CDS	468	mntR		COG1321	Transcriptional regulator MntR
CAICOJHJ_00816	CDS	1119	ybiR		COG0471	Inner membrane protein YbiR
CAICOJHJ_00817	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
CAICOJHJ_00818	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
CAICOJHJ_00819	CDS	816	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
CAICOJHJ_00820	CDS	2433	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
CAICOJHJ_00821	CDS	900	cutD_1	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
CAICOJHJ_00822	CDS	663	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
CAICOJHJ_00823	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
CAICOJHJ_00824	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
CAICOJHJ_00825	CDS	966	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
CAICOJHJ_00826	CDS	1872	gsiA	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
CAICOJHJ_00827	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
CAICOJHJ_00828	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
CAICOJHJ_00829	CDS	912	gsiD		COG1173	Glutathione transport system permease protein GsiD
CAICOJHJ_00830	CDS	2349	pdeI	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeI
CAICOJHJ_00831	CDS	1329	dgcZ_1	2.7.7.65	COG2199	Diguanylate cyclase DgcZ
CAICOJHJ_00832	CDS	1326	rimO_1	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
CAICOJHJ_00833	CDS	384				hypothetical protein
CAICOJHJ_00834	CDS	1116	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
CAICOJHJ_00835	CDS	627	gstB	2.5.1.18	COG0625	Glutathione S-transferase GstB
CAICOJHJ_00836	CDS	1203	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
CAICOJHJ_00837	CDS	759	deoR_2		COG1349	Deoxyribose operon repressor
CAICOJHJ_00838	CDS	597	ybjG	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
CAICOJHJ_00839	CDS	1233	mdfA			Multidrug transporter MdfA
CAICOJHJ_00840	CDS	279				hypothetical protein
CAICOJHJ_00841	CDS	816	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
CAICOJHJ_00842	CDS	1128	ybjJ			Inner membrane protein YbjJ
CAICOJHJ_00843	CDS	537	rcdA		COG3226	HTH-type transcriptional regulator RcdA
CAICOJHJ_00844	CDS	270				hypothetical protein
CAICOJHJ_00845	CDS	1032	xerD_2			Tyrosine recombinase XerD
CAICOJHJ_00846	CDS	972				hypothetical protein
CAICOJHJ_00847	CDS	927				hypothetical protein
CAICOJHJ_00848	CDS	222				hypothetical protein
CAICOJHJ_00849	CDS	510				hypothetical protein
CAICOJHJ_00850	CDS	201				hypothetical protein
CAICOJHJ_00851	CDS	342				hypothetical protein
CAICOJHJ_00852	CDS	234				hypothetical protein
CAICOJHJ_00853	CDS	228	ybiI_2		COG1734	putative protein YbiI
CAICOJHJ_00854	CDS	858	dam_1	2.1.1.72	COG0338	DNA adenine methylase
CAICOJHJ_00855	CDS	2415				hypothetical protein
CAICOJHJ_00856	CDS	189				hypothetical protein
CAICOJHJ_00857	CDS	234	dinI_1			DNA damage-inducible protein I
CAICOJHJ_00858	CDS	171				hypothetical protein
CAICOJHJ_00859	CDS	201				hypothetical protein
CAICOJHJ_00860	CDS	783				hypothetical protein
CAICOJHJ_00861	CDS	1152				hypothetical protein
CAICOJHJ_00862	CDS	1035				hypothetical protein
CAICOJHJ_00863	CDS	1767				hypothetical protein
CAICOJHJ_00864	CDS	834				hypothetical protein
CAICOJHJ_00865	CDS	1059				hypothetical protein
CAICOJHJ_00866	CDS	651				hypothetical protein
CAICOJHJ_00867	CDS	465				hypothetical protein
CAICOJHJ_00868	CDS	204				hypothetical protein
CAICOJHJ_00869	CDS	216				hypothetical protein
CAICOJHJ_00870	CDS	513	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
CAICOJHJ_00871	CDS	378				hypothetical protein
CAICOJHJ_00872	CDS	429				hypothetical protein
CAICOJHJ_00873	CDS	432				hypothetical protein
CAICOJHJ_00874	CDS	447				hypothetical protein
CAICOJHJ_00875	CDS	579				hypothetical protein
CAICOJHJ_00876	CDS	360				hypothetical protein
CAICOJHJ_00877	CDS	909				hypothetical protein
CAICOJHJ_00878	CDS	606				hypothetical protein
CAICOJHJ_00879	CDS	1440				hypothetical protein
CAICOJHJ_00880	CDS	477				hypothetical protein
CAICOJHJ_00881	CDS	1032	wecH_1	2.3.1.-		O-acetyltransferase WecH
CAICOJHJ_00882	CDS	1173	gpFI			Putative prophage major tail sheath protein
CAICOJHJ_00883	CDS	516				hypothetical protein
CAICOJHJ_00884	CDS	303				hypothetical protein
CAICOJHJ_00885	CDS	3078				hypothetical protein
CAICOJHJ_00886	CDS	486				hypothetical protein
CAICOJHJ_00887	CDS	1101				hypothetical protein
CAICOJHJ_00888	CDS	219				hypothetical protein
CAICOJHJ_00889	CDS	1686	aspT_1			Aspartate/alanine antiporter
CAICOJHJ_00890	CDS	378	ybjM			Inner membrane protein YbjM
CAICOJHJ_00891	CDS	258	grxA		COG0695	Glutaredoxin 1
CAICOJHJ_00892	CDS	288				hypothetical protein
CAICOJHJ_00893	CDS	723	nfsA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
CAICOJHJ_00894	CDS	903	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
CAICOJHJ_00895	CDS	477	ybjN			putative protein YbjN
CAICOJHJ_00896	CDS	1113	potF		COG0687	Putrescine-binding periplasmic protein
CAICOJHJ_00897	CDS	1134	potA_1	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
CAICOJHJ_00898	CDS	945	potH		COG1176	Putrescine transport system permease protein PotH
CAICOJHJ_00899	CDS	846	ydcV_1			Inner membrane ABC transporter permease protein YdcV
CAICOJHJ_00900	CDS	489	ybjO			Inner membrane protein YbjO
CAICOJHJ_00901	CDS	1128	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
CAICOJHJ_00902	CDS	732	artJ		COG0834	ABC transporter arginine-binding protein 1
CAICOJHJ_00903	CDS	669	artM_1		COG4160	Arginine ABC transporter permease protein ArtM
CAICOJHJ_00904	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
CAICOJHJ_00905	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
CAICOJHJ_00906	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
CAICOJHJ_00907	CDS	516	ybjP			putative lipoprotein YbjP
CAICOJHJ_00908	CDS	324				hypothetical protein
CAICOJHJ_00909	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
CAICOJHJ_00910	CDS	1050	auaH	1.1.1.394		Aurachin B dehydrogenase
CAICOJHJ_00911	CDS	1431				hypothetical protein
CAICOJHJ_00912	CDS	1002	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
CAICOJHJ_00913	CDS	1719	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
CAICOJHJ_00914	CDS	969	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
CAICOJHJ_00915	CDS	1653	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
CAICOJHJ_00916	CDS	900	lysO		COG2431	Lysine exporter LysO
CAICOJHJ_00917	CDS	696	aqpZ		COG0580	Aquaporin Z
CAICOJHJ_00918	CDS	1659	recF_1			DNA replication and repair protein RecF
CAICOJHJ_00919	CDS	993			COG2990	putative protein
CAICOJHJ_00920	CDS	1116	macA		COG0845	Macrolide export protein MacA
CAICOJHJ_00921	CDS	2010	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
CAICOJHJ_00922	CDS	225	cspD		COG1278	Cold shock-like protein CspD
CAICOJHJ_00923	CDS	321	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
CAICOJHJ_00924	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
CAICOJHJ_00925	tRNA	88				tRNA-Ser(gga)
CAICOJHJ_00926	CDS	219	infA		COG0361	Translation initiation factor IF-1
CAICOJHJ_00927	CDS	705	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
CAICOJHJ_00928	CDS	1722	msbA_1	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
CAICOJHJ_00929	CDS	1767	cydD		COG4988	ATP-binding/permease protein CydD
CAICOJHJ_00930	CDS	1071	trxB	1.8.1.9	COG0492	Thioredoxin reductase
CAICOJHJ_00931	CDS	495	lrp		COG1522	Leucine-responsive regulatory protein
CAICOJHJ_00932	CDS	4044	ftsK		COG1674	DNA translocase FtsK
CAICOJHJ_00933	CDS	612	lolA_1		COG2834	Outer-membrane lipoprotein carrier protein
CAICOJHJ_00934	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
CAICOJHJ_00935	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
CAICOJHJ_00936	CDS	2445	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
CAICOJHJ_00937	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
CAICOJHJ_00938	CDS	864	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
CAICOJHJ_00939	CDS	627	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
CAICOJHJ_00940	CDS	1125	ycaD			putative MFS-type transporter YcaD
CAICOJHJ_00941	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
CAICOJHJ_00942	CDS	1170	pflB_1	2.3.1.54	COG1882	Formate acetyltransferase 1
CAICOJHJ_00943	CDS	1134	pflB_2	2.3.1.54	COG1882	Formate acetyltransferase 1
CAICOJHJ_00944	CDS	1197	focA		COG2116	putative formate transporter 1
CAICOJHJ_00945	CDS	1761	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
CAICOJHJ_00946	CDS	693				hypothetical protein
CAICOJHJ_00947	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
CAICOJHJ_00948	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
CAICOJHJ_00949	CDS	765	ycaL	3.4.24.-	COG0501	putative metalloprotease YcaL
CAICOJHJ_00950	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
CAICOJHJ_00951	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
CAICOJHJ_00952	CDS	285	ihfB		COG0776	Integration host factor subunit beta
CAICOJHJ_00953	CDS	2265	comEC		COG0658	ComE operon protein 3
CAICOJHJ_00954	CDS	1749	msbA_2	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
CAICOJHJ_00955	CDS	267	lpxK_1	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
CAICOJHJ_00956	CDS	657	lpxK_2	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
CAICOJHJ_00957	CDS	1233				hypothetical protein
CAICOJHJ_00958	CDS	183				hypothetical protein
CAICOJHJ_00959	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
CAICOJHJ_00960	CDS	894				hypothetical protein
CAICOJHJ_00961	CDS	780				hypothetical protein
CAICOJHJ_00962	CDS	786	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
CAICOJHJ_00963	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
CAICOJHJ_00964	CDS	705	mukE		COG3095	Chromosome partition protein MukE
CAICOJHJ_00965	CDS	4461	mukB		COG3096	Chromosome partition protein MukB
CAICOJHJ_00966	CDS	1848				hypothetical protein
CAICOJHJ_00967	CDS	549				hypothetical protein
CAICOJHJ_00968	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
CAICOJHJ_00969	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
CAICOJHJ_00970	CDS	1089	ompF		COG3203	Outer membrane protein F
CAICOJHJ_00971	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
CAICOJHJ_00972	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
CAICOJHJ_00973	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
CAICOJHJ_00974	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
CAICOJHJ_00975	CDS	795	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
CAICOJHJ_00976	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
CAICOJHJ_00977	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
CAICOJHJ_00978	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
CAICOJHJ_00979	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
CAICOJHJ_00980	CDS	543	zapC			Cell division protein ZapC
CAICOJHJ_00981	CDS	1110	ycbX		COG0633	putative protein YcbX
CAICOJHJ_00982	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
CAICOJHJ_00983	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
CAICOJHJ_00984	CDS	1254	pqiA		COG2995	Paraquat-inducible protein A
CAICOJHJ_00985	CDS	1641	pqiB		COG3008	Paraquat-inducible protein B
CAICOJHJ_00986	CDS	564				hypothetical protein
CAICOJHJ_00987	CDS	168	rmf		COG3130	Ribosome modulation factor
CAICOJHJ_00988	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
CAICOJHJ_00989	CDS	1761	lon_2	3.4.21.53		Lon protease
CAICOJHJ_00990	CDS	453	matP		COG3120	Macrodomain Ter protein
CAICOJHJ_00991	CDS	1053	ompA		COG2885	Outer membrane protein A
CAICOJHJ_00992	CDS	510	sulA		COG5404	Cell division inhibitor SulA
CAICOJHJ_00993	CDS	630	sxy		COG3070	Protein Sxy
CAICOJHJ_00994	CDS	2154	yccS_1		COG1289	Inner membrane protein YccS
CAICOJHJ_00995	CDS	447	yccF		COG3304	Inner membrane protein YccF
CAICOJHJ_00996	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
CAICOJHJ_00997	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
CAICOJHJ_00998	CDS	663				hypothetical protein
CAICOJHJ_00999	CDS	414	yccU		COG1832	putative protein YccU
CAICOJHJ_01000	CDS	318	hspQ		COG3785	Heat shock protein HspQ
CAICOJHJ_01001	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
CAICOJHJ_01002	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
CAICOJHJ_01003	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
CAICOJHJ_01004	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
CAICOJHJ_01005	tRNA	88				tRNA-Ser(tga)
CAICOJHJ_01006	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
CAICOJHJ_01007	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
CAICOJHJ_01008	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
CAICOJHJ_01009	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
CAICOJHJ_01010	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
CAICOJHJ_01011	CDS	858				hypothetical protein
CAICOJHJ_01012	CDS	1545	appC	1.10.3.10	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
CAICOJHJ_01013	CDS	1137	appB	1.10.3.10	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
CAICOJHJ_01014	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
CAICOJHJ_01015	CDS	1311	appA_1			Periplasmic AppA protein
CAICOJHJ_01016	CDS	213	cspG_1		COG1278	Cold shock-like protein CspG
CAICOJHJ_01017	CDS	174	gnsA_1			Protein GnsA
CAICOJHJ_01018	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
CAICOJHJ_01019	CDS	2688	torS	2.7.13.3	COG0784	Sensor protein TorS
CAICOJHJ_01020	CDS	1029	torT		COG1879	Periplasmic protein TorT
CAICOJHJ_01021	CDS	693	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
CAICOJHJ_01022	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
CAICOJHJ_01023	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
CAICOJHJ_01024	CDS	600	torD		COG3381	Chaperone protein TorD
CAICOJHJ_01025	CDS	306	cbpM			Chaperone modulatory protein CbpM
CAICOJHJ_01026	CDS	921	cbpA		COG2214	Curved DNA-binding protein
CAICOJHJ_01027	CDS	957	agp_1	3.1.3.10		Glucose-1-phosphatase
CAICOJHJ_01028	CDS	255	agp_2	3.1.3.10		Glucose-1-phosphatase
CAICOJHJ_01029	CDS	228	yccJ			putative protein YccJ
CAICOJHJ_01030	CDS	597		1.6.5.2		NAD(P)H dehydrogenase (quinone)
CAICOJHJ_01031	CDS	174				hypothetical protein
CAICOJHJ_01032	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
CAICOJHJ_01033	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
CAICOJHJ_01034	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
CAICOJHJ_01035	CDS	801	rutD	3.5.1.-	COG0596	Putative aminoacrylate hydrolase RutD
CAICOJHJ_01036	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
CAICOJHJ_01037	CDS	696	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
CAICOJHJ_01038	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
CAICOJHJ_01039	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
CAICOJHJ_01040	CDS	3963	putA		COG0506	Bifunctional protein PutA
CAICOJHJ_01041	CDS	210				hypothetical protein
CAICOJHJ_01042	CDS	1509	putP		COG0591	Sodium/proline symporter
CAICOJHJ_01043	CDS	720	efeU		COG0672	Ferrous iron permease EfeU
CAICOJHJ_01044	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
CAICOJHJ_01045	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
CAICOJHJ_01046	CDS	297				hypothetical protein
CAICOJHJ_01047	CDS	789	phoH		COG1702	Protein PhoH
CAICOJHJ_01048	CDS	414	pgaD			Biofilm PGA synthesis protein PgaD
CAICOJHJ_01049	CDS	1326	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
CAICOJHJ_01050	CDS	2019	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
CAICOJHJ_01051	CDS	2424	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
CAICOJHJ_01052	CDS	1368	dgcT	2.7.7.65		putative diguanylate cyclase DgcT
CAICOJHJ_01053	CDS	105				hypothetical protein
CAICOJHJ_01054	CDS	1203	intA_1		COG0582	Prophage integrase IntA
CAICOJHJ_01055	CDS	1818				hypothetical protein
CAICOJHJ_01056	CDS	1443				hypothetical protein
CAICOJHJ_01057	CDS	594				hypothetical protein
CAICOJHJ_01058	CDS	207	rsmI_1	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
CAICOJHJ_01059	CDS	1890				hypothetical protein
CAICOJHJ_01060	CDS	1164	patB	4.4.1.8	COG1168	Cystathionine beta-lyase PatB
CAICOJHJ_01061	CDS	267	kbaY_1	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
CAICOJHJ_01062	CDS	624	agaS_1	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
CAICOJHJ_01063	CDS	252	srlR_1		COG1349	Glucitol operon repressor
CAICOJHJ_01064	CDS	282	srlR_2		COG1349	Glucitol operon repressor
CAICOJHJ_01065	CDS	501	garD_1	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
CAICOJHJ_01066	CDS	198	garD_2	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
CAICOJHJ_01067	CDS	342	garD_3	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
CAICOJHJ_01068	CDS	426				hypothetical protein
CAICOJHJ_01069	CDS	1230	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
CAICOJHJ_01070	CDS	732	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CAICOJHJ_01071	CDS	465				hypothetical protein
CAICOJHJ_01072	CDS	1170	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
CAICOJHJ_01073	CDS	585				hypothetical protein
CAICOJHJ_01074	CDS	2319				hypothetical protein
CAICOJHJ_01075	CDS	606	lolA_2			Outer-membrane lipoprotein carrier protein
CAICOJHJ_01076	CDS	423		3.1.-.-	COG0824	Putative esterase
CAICOJHJ_01077	CDS	1677		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
CAICOJHJ_01078	CDS	354				hypothetical protein
CAICOJHJ_01079	CDS	1359	aas_1	6.2.1.20		Bifunctional protein Aas
CAICOJHJ_01080	CDS	582				hypothetical protein
CAICOJHJ_01081	CDS	252	acpP_1		COG0236	Acyl carrier protein
CAICOJHJ_01082	CDS	258				hypothetical protein
CAICOJHJ_01083	CDS	840				hypothetical protein
CAICOJHJ_01084	CDS	723				hypothetical protein
CAICOJHJ_01085	CDS	1059	sfmM2	2.1.1.304		L-tyrosine C(3)-methyltransferase
CAICOJHJ_01086	CDS	390				hypothetical protein
CAICOJHJ_01087	CDS	2598	cdiA_2		COG3210	Toxin CdiA
CAICOJHJ_01088	CDS	1233	cdiA_3	3.1.-.-	COG3210	tRNA nuclease CdiA
CAICOJHJ_01089	CDS	1614	cdiA_4	3.1.-.-	COG3210	tRNA nuclease CdiA
CAICOJHJ_01090	CDS	459				hypothetical protein
CAICOJHJ_01091	CDS	378				hypothetical protein
CAICOJHJ_01092	CDS	192				hypothetical protein
CAICOJHJ_01093	CDS	156				hypothetical protein
CAICOJHJ_01094	CDS	396				hypothetical protein
CAICOJHJ_01095	CDS	525				hypothetical protein
CAICOJHJ_01096	CDS	690				hypothetical protein
CAICOJHJ_01097	CDS	564				hypothetical protein
CAICOJHJ_01098	CDS	240	cea			Colicin-E1
CAICOJHJ_01099	CDS	288				hypothetical protein
CAICOJHJ_01100	CDS	309				hypothetical protein
CAICOJHJ_01101	CDS	372				hypothetical protein
CAICOJHJ_01102	CDS	237				hypothetical protein
CAICOJHJ_01103	CDS	1035	aroH_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
CAICOJHJ_01104	CDS	216				hypothetical protein
CAICOJHJ_01105	CDS	666				hypothetical protein
CAICOJHJ_01106	CDS	225				hypothetical protein
CAICOJHJ_01107	CDS	246				hypothetical protein
